Province,Country,Date,Value
,Afghanistan,4/14/2020,714
,Afghanistan,4/13/2020,665
,Afghanistan,4/12/2020,607
,Afghanistan,4/11/2020,555
,Afghanistan,4/10/2020,521
,Afghanistan,4/9/2020,484
,Afghanistan,4/8/2020,444
,Afghanistan,4/7/2020,423
,Afghanistan,4/6/2020,367
,Afghanistan,4/5/2020,349
,Afghanistan,4/4/2020,299
,Afghanistan,4/3/2020,281
,Afghanistan,4/2/2020,273
,Afghanistan,4/1/2020,237
,Afghanistan,3/31/2020,174
,Afghanistan,3/30/2020,170
,Afghanistan,3/29/2020,120
,Afghanistan,3/28/2020,110
,Afghanistan,3/27/2020,110
,Afghanistan,3/26/2020,94
,Afghanistan,3/25/2020,84
,Afghanistan,3/24/2020,74
,Afghanistan,3/23/2020,40
,Afghanistan,3/22/2020,40
,Afghanistan,3/21/2020,24
,Afghanistan,3/20/2020,24
,Afghanistan,3/19/2020,22
,Afghanistan,3/18/2020,22
,Afghanistan,3/17/2020,22
,Afghanistan,3/16/2020,21
,Afghanistan,3/15/2020,16
,Afghanistan,3/14/2020,11
,Afghanistan,3/13/2020,7
,Afghanistan,3/12/2020,7
,Afghanistan,3/11/2020,7
,Afghanistan,3/10/2020,5
,Afghanistan,3/9/2020,4
,Afghanistan,3/8/2020,4
,Afghanistan,3/7/2020,1
,Afghanistan,3/6/2020,1
,Afghanistan,3/5/2020,1
,Afghanistan,3/4/2020,1
,Afghanistan,3/3/2020,1
,Afghanistan,3/2/2020,1
,Afghanistan,3/1/2020,1
,Afghanistan,2/29/2020,1
,Afghanistan,2/28/2020,1
,Afghanistan,2/27/2020,1
,Afghanistan,2/26/2020,1
,Afghanistan,2/25/2020,1
,Afghanistan,2/24/2020,1
,Afghanistan,2/23/2020,0
,Afghanistan,2/22/2020,0
,Afghanistan,2/21/2020,0
,Afghanistan,2/20/2020,0
,Afghanistan,2/19/2020,0
,Afghanistan,2/18/2020,0
,Afghanistan,2/17/2020,0
,Afghanistan,2/16/2020,0
,Afghanistan,2/15/2020,0
,Afghanistan,2/14/2020,0
,Afghanistan,2/13/2020,0
,Afghanistan,2/12/2020,0
,Afghanistan,2/11/2020,0
,Afghanistan,2/10/2020,0
,Afghanistan,2/9/2020,0
,Afghanistan,2/8/2020,0
,Afghanistan,2/7/2020,0
,Afghanistan,2/6/2020,0
,Afghanistan,2/5/2020,0
,Afghanistan,2/4/2020,0
,Afghanistan,2/3/2020,0
,Afghanistan,2/2/2020,0
,Afghanistan,2/1/2020,0
,Afghanistan,1/31/2020,0
,Afghanistan,1/30/2020,0
,Afghanistan,1/29/2020,0
,Afghanistan,1/28/2020,0
,Afghanistan,1/27/2020,0
,Afghanistan,1/26/2020,0
,Afghanistan,1/25/2020,0
,Afghanistan,1/24/2020,0
,Afghanistan,1/23/2020,0
,Afghanistan,1/22/2020,0
,Albania,4/14/2020,475
,Albania,4/13/2020,467
,Albania,4/12/2020,446
,Albania,4/11/2020,433
,Albania,4/10/2020,416
,Albania,4/9/2020,409
,Albania,4/8/2020,400
,Albania,4/7/2020,383
,Albania,4/6/2020,377
,Albania,4/5/2020,361
,Albania,4/4/2020,333
,Albania,4/3/2020,304
,Albania,4/2/2020,277
,Albania,4/1/2020,259
,Albania,3/31/2020,243
,Albania,3/30/2020,223
,Albania,3/29/2020,212
,Albania,3/28/2020,197
,Albania,3/27/2020,186
,Albania,3/26/2020,174
,Albania,3/25/2020,146
,Albania,3/24/2020,123
,Albania,3/23/2020,104
,Albania,3/22/2020,89
,Albania,3/21/2020,76
,Albania,3/20/2020,70
,Albania,3/19/2020,64
,Albania,3/18/2020,59
,Albania,3/17/2020,55
,Albania,3/16/2020,51
,Albania,3/15/2020,42
,Albania,3/14/2020,38
,Albania,3/13/2020,33
,Albania,3/12/2020,23
,Albania,3/11/2020,12
,Albania,3/10/2020,10
,Albania,3/9/2020,2
,Albania,3/8/2020,0
,Albania,3/7/2020,0
,Albania,3/6/2020,0
,Albania,3/5/2020,0
,Albania,3/4/2020,0
,Albania,3/3/2020,0
,Albania,3/2/2020,0
,Albania,3/1/2020,0
,Albania,2/29/2020,0
,Albania,2/28/2020,0
,Albania,2/27/2020,0
,Albania,2/26/2020,0
,Albania,2/25/2020,0
,Albania,2/24/2020,0
,Albania,2/23/2020,0
,Albania,2/22/2020,0
,Albania,2/21/2020,0
,Albania,2/20/2020,0
,Albania,2/19/2020,0
,Albania,2/18/2020,0
,Albania,2/17/2020,0
,Albania,2/16/2020,0
,Albania,2/15/2020,0
,Albania,2/14/2020,0
,Albania,2/13/2020,0
,Albania,2/12/2020,0
,Albania,2/11/2020,0
,Albania,2/10/2020,0
,Albania,2/9/2020,0
,Albania,2/8/2020,0
,Albania,2/7/2020,0
,Albania,2/6/2020,0
,Albania,2/5/2020,0
,Albania,2/4/2020,0
,Albania,2/3/2020,0
,Albania,2/2/2020,0
,Albania,2/1/2020,0
,Albania,1/31/2020,0
,Albania,1/30/2020,0
,Albania,1/29/2020,0
,Albania,1/28/2020,0
,Albania,1/27/2020,0
,Albania,1/26/2020,0
,Albania,1/25/2020,0
,Albania,1/24/2020,0
,Albania,1/23/2020,0
,Albania,1/22/2020,0
,Algeria,4/14/2020,2070
,Algeria,4/13/2020,1983
,Algeria,4/12/2020,1914
,Algeria,4/11/2020,1825
,Algeria,4/10/2020,1761
,Algeria,4/9/2020,1666
,Algeria,4/8/2020,1572
,Algeria,4/7/2020,1468
,Algeria,4/6/2020,1423
,Algeria,4/5/2020,1320
,Algeria,4/4/2020,1251
,Algeria,4/3/2020,1171
,Algeria,4/2/2020,986
,Algeria,4/1/2020,847
,Algeria,3/31/2020,716
,Algeria,3/30/2020,584
,Algeria,3/29/2020,511
,Algeria,3/28/2020,454
,Algeria,3/27/2020,409
,Algeria,3/26/2020,367
,Algeria,3/25/2020,302
,Algeria,3/24/2020,264
,Algeria,3/23/2020,230
,Algeria,3/22/2020,201
,Algeria,3/21/2020,139
,Algeria,3/20/2020,90
,Algeria,3/19/2020,87
,Algeria,3/18/2020,74
,Algeria,3/17/2020,60
,Algeria,3/16/2020,54
,Algeria,3/15/2020,48
,Algeria,3/14/2020,37
,Algeria,3/13/2020,26
,Algeria,3/12/2020,24
,Algeria,3/11/2020,20
,Algeria,3/10/2020,20
,Algeria,3/9/2020,20
,Algeria,3/8/2020,19
,Algeria,3/7/2020,17
,Algeria,3/6/2020,17
,Algeria,3/5/2020,12
,Algeria,3/4/2020,12
,Algeria,3/3/2020,5
,Algeria,3/2/2020,3
,Algeria,3/1/2020,1
,Algeria,2/29/2020,1
,Algeria,2/28/2020,1
,Algeria,2/27/2020,1
,Algeria,2/26/2020,1
,Algeria,2/25/2020,1
,Algeria,2/24/2020,0
,Algeria,2/23/2020,0
,Algeria,2/22/2020,0
,Algeria,2/21/2020,0
,Algeria,2/20/2020,0
,Algeria,2/19/2020,0
,Algeria,2/18/2020,0
,Algeria,2/17/2020,0
,Algeria,2/16/2020,0
,Algeria,2/15/2020,0
,Algeria,2/14/2020,0
,Algeria,2/13/2020,0
,Algeria,2/12/2020,0
,Algeria,2/11/2020,0
,Algeria,2/10/2020,0
,Algeria,2/9/2020,0
,Algeria,2/8/2020,0
,Algeria,2/7/2020,0
,Algeria,2/6/2020,0
,Algeria,2/5/2020,0
,Algeria,2/4/2020,0
,Algeria,2/3/2020,0
,Algeria,2/2/2020,0
,Algeria,2/1/2020,0
,Algeria,1/31/2020,0
,Algeria,1/30/2020,0
,Algeria,1/29/2020,0
,Algeria,1/28/2020,0
,Algeria,1/27/2020,0
,Algeria,1/26/2020,0
,Algeria,1/25/2020,0
,Algeria,1/24/2020,0
,Algeria,1/23/2020,0
,Algeria,1/22/2020,0
,Andorra,4/14/2020,659
,Andorra,4/13/2020,646
,Andorra,4/12/2020,638
